S. No.,Timestamp,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,GADE,SWL1,SWL2,SWL3,SWL4,SWL5,Platform,Hours,earnings,whyplay,League,highestleague,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Playstyle,accept,GAD_T,SWL_T,SPIN_T
2461,42054.69229,1,0,0,0,0,1,0,Not difficult at all,3,3,3,4,5,PC,15,I play for fun,winning,Platinium 3,NA,5,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0,3,Male,28,Employed,Multiplayer - online - with strangers,Accept,2,18,6
2462,42054.69229,1,1,0,0,0,0,2,Somewhat difficult,7,7,7,6,7,PC,20,I play for fun,improving,Platinum 2,NA,7,1,0,3,4,1,2,0,3,1,4,3,0,0,2,1,0,3,4,Male,19,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,4,34,28
2463,42054.69231,1,0,0,0,0,1,0,Not difficult at all,3,6,6,5,2,PC,23,I play for fun,improving,Gold IV,NA,30,1,1,1,2,0,1,2,1,3,0,4,0,0,1,0,1,1,1,Male,18,Student at school,Multiplayer - online - with strangers,Accept,2,22,19
2464,42054.69232,1,0,1,2,1,1,0,Somewhat difficult,2,5,4,4,1,"Console (PS, Xbox, ...)",17,I play for fun,winning,Gold,NA,16,2,3,3,2,1,2,2,3,3,1,0,0,0,2,1,0,2,3,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,6,16,27
2466,42054.69232,0,0,0,0,0,0,0,Not difficult at all,6,6,6,7,6,PC,40,I play for fun,relaxing,Plat 5,NA,2,1,1,2,3,2,2,2,2,3,2,4,2,2,2,4,1,1,2,Male,24,Employed,Multiplayer - online - with real life friends,Accept,0,31,36
2467,42054.69234,3,3,2,1,0,1,1,Somewhat difficult,2,2,2,4,5,PC,1,I play for fun,having fun,NA,NA,13,1,2,2,3,4,4,4,2,1,2,4,4,2,3,3,2,3,1,Female,19,Student at college / university,Multiplayer - online - with real life friends,Accept,11,15,46
2468,42054.69244,0,0,0,0,0,1,0,Not difficult at all,5,6,6,6,3,PC,10,I play for fun,"Working together for an objective, stopping people abusing each others",Platinum 2,NA,12,1,1,0,0,2,2,0,1,0,0,1,0,0,0,2,1,1,2,Male,28,Employed,Multiplayer - online - with strangers,Accept,1,26,12
2469,42054.69244,0,0,0,0,0,0,0,NA,5,5,3,2,2,PC,12,I play for fun,having fun,NA,NA,30,0,4,1,3,1,4,0,0,4,2,4,0,0,2,2,0,0,1,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,0,17,27
2470,42054.69244,0,1,0,2,2,1,1,Not difficult at all,2,6,3,3,1,PC,14,I play for fun,winning,Silver 2,NA,1,0,3,1,3,1,1,0,1,2,2,3,0,2,2,1,0,1,2,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,7,15,23
2471,42054.69252,1,0,1,0,0,1,0,Somewhat difficult,4,5,3,2,6,PC,35,I play for fun,improving,Platinum 3,NA,7,0,0,2,1,0,2,3,4,4,0,1,0,0,1,0,0,4,1,Male,20,Student at college / university,Multiplayer - online - with real life friends,Accept,3,20,22
2473,42054.69253,0,0,0,0,0,3,0,Not difficult at all,3,5,6,3,6,PC,15,I play for fun,winning,Silver,NA,1,0,2,1,1,0,0,0,0,1,0,3,0,0,1,0,0,0,1,Male,18,Student at school,Multiplayer - online - with strangers,Accept,3,23,9
2474,42054.69256,0,0,0,1,1,1,0,Not difficult at all,5,6,6,5,5,PC,21,I play for fun,improving,Diamond 5,NA,12,1,3,1,3,0,2,3,3,2,1,1,0,NA,2,1,1,2,2,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,3,27,NA
2475,42054.69257,1,3,3,2,1,1,1,Very difficult,6,6,5,5,6,PC,14,I play for fun,Performing,None,NA,5,1,3,2,4,1,3,3,3,3,3,3,1,0,2,3,1,1,2,Male,22,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,12,28,37
2476,42054.69261,0,0,0,0,0,0,0,NA,2,6,4,2,5,PC,25,I play for fun,"With friends having fun, alone improving",Platinum 1,NA,30,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,0,19,6
2477,42054.69263,1,0,1,0,0,0,1,Not difficult at all,6,5,6,6,4,PC,20,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Diamond V,NA,3,1,3,1,2,1,1,1,1,1,1,0,1,0,1,2,0,1,1,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,3,27,18
2478,42054.69263,1,0,0,3,3,0,3,Somewhat difficult,2,3,4,1,1,PC,40,I play for fun,improving,Silver 3,NA,18,1,0,0,2,1,0,1,3,3,0,4,0,0,1,1,0,2,2,Male,19,Student at college / university,Multiplayer - online - with strangers,Accept,10,11,19
2479,42054.69264,1,0,1,0,0,0,0,Not difficult at all,3,4,4,2,1,PC,10,I play for fun,having fun,unranked ,NA,5,0,1,0,1,1,1,2,0,0,0,1,1,0,0,2,0,0,4,Male,20,Student at school,Multiplayer - online - with online acquaintances or teammates,Accept,2,14,10
2480,42054.69264,0,0,1,1,0,1,0,Somewhat difficult,4,5,5,3,2,PC,35,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Diamond3,NA,20,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,3,Male,21,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,3,19,4
2481,42054.69266,2,0,0,0,0,1,1,Somewhat difficult,5,6,7,5,4,PC,20,I play for fun,improving,Platinum,NA,30,2,2,1,3,0,1,1,4,4,1,4,1,0,2,3,3,1,1,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,4,27,33
2482,42054.69267,1,1,2,1,0,1,1,Very difficult,3,6,6,2,2,PC,5,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Gold 5,NA,2,1,2,1,2,2,2,2,1,2,1,1,1,0,2,3,0,3,2,Male,18,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,7,19,26
2483,42054.69267,0,0,1,1,0,1,0,Not difficult at all,2,5,5,5,1,PC,8,I play for fun,having fun,plat 3,NA,0,0,1,1,1,0,1,0,1,3,1,3,0,0,0,1,0,0,1,Male,22,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,3,18,13
2484,42054.69268,1,2,3,1,0,0,1,Somewhat difficult,1,3,2,2,1,PC,20,I play for fun,improving,Silver,NA,15,0,1,1,1,0,0,1,3,4,0,2,0,0,0,0,0,0,3,Male,27,Employed,Multiplayer online with strangers and acquaintances at the same level,Accept,8,9,13
2485,42054.69275,3,2,2,0,0,3,1,Somewhat difficult,2,6,4,1,2,PC,40,I play to win,improving,Platinum,NA,20,1,0,0,1,3,2,4,0,2,1,0,0,1,1,1,0,0,2,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,11,15,17
2486,42054.69275,1,1,1,3,1,0,1,Somewhat difficult,2,2,2,2,2,PC,30,I play for fun,having fun,Diamond 1 (Master S4),NA,3,3,2,3,1,1,2,3,2,2,1,3,3,2,4,3,2,2,3,Male,20,Unemployed / between jobs,Multiplayer - online - with online acquaintances or teammates,Accept,8,10,39
2487,42054.69282,1,0,1,2,1,0,0,Somewhat difficult,5,5,3,2,4,PC,16,I play for fun,having fun,NA,NA,3,1,1,1,0,0,1,3,1,4,1,0,0,3,4,1,0,1,1,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,5,19,22
2488,42054.69283,0,0,0,0,0,1,1,Not difficult at all,6,6,6,6,3,PC,10,I play for fun,improving,Greater Rift level 38 Solo DH,NA,25,2,1,2,3,2,1,0,1,3,2,4,0,1,3,1,2,2,4,Male,18,Student at college / university,Singleplayer,Accept,2,27,30
2489,42054.69289,0,0,0,0,1,1,0,Not difficult at all,6,6,7,7,7,PC,15,I play for fun,having fun,NA,NA,5,0,1,0,2,2,1,0,1,1,1,2,1,0,2,1,0,0,2,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,2,33,15
2490,42054.69293,1,0,1,0,0,1,0,Not difficult at all,6,6,6,6,6,PC,14,I play for fun,having fun,Diamond,NA,4,0,0,0,1,1,0,0,3,0,0,3,0,0,1,1,0,0,1,Male,21,Student at college / university,Multiplayer - online - with strangers,Accept,3,30,10
2491,42054.69295,1,0,0,0,0,0,1,Not difficult at all,3,4,5,7,5,PC,12,I play for fun,relaxing,"gold, previous plat",NA,2,1,1,1,1,0,1,0,1,2,1,1,0,1,1,2,0,1,2,Male,28,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,2,24,15
2492,42054.69299,1,0,1,0,0,0,0,Not difficult at all,3,4,4,2,3,PC,30,I play for fun,improving,platinum,NA,20,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,2,Male,20,Student at college / university,Multiplayer - online - with real life friends,Accept,2,16,7
2493,42054.69302,1,1,1,0,0,0,0,Somewhat difficult,2,5,1,1,1,PC,35,I play for fun,winning,Challenger,NA,3,1,0,1,4,1,0,0,4,2,0,3,0,2,3,1,0,0,4,Male,20,Student at college / university,Multiplayer - online - with strangers,Accept,3,10,22
2494,42054.69303,1,1,2,0,0,1,0,Not difficult at all,6,6,6,6,7,PC,25,I play for fun,improving,Gold III,NA,4,0,0,0,0,0,1,1,0,0,2,2,1,0,3,3,1,1,3,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,5,31,15
2495,42054.69306,3,3,2,0,0,1,2,Very difficult,4,3,3,1,1,PC,20,I play for fun,winning,Silver 3,NA,15,2,3,1,1,2,4,0,0,1,2,0,1,1,2,1,0,0,4,Male,18,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,11,12,21
2496,42054.69309,3,3,2,1,1,0,0,Somewhat difficult,1,4,5,5,3,PC,20,I play for fun,improving,Silver I,NA,10,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,Male,20,Student at college / university,Multiplayer - online - with online acquaintances or teammates,NA,10,18,4
2497,42054.69312,0,0,0,1,1,1,0,Not difficult at all,6,6,6,6,6,PC,28,I play for fun,Improving and Having fun,Silver,NA,8,0,1,1,3,1,1,2,2,3,3,3,0,2,2,2,0,3,3,Female,18,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,3,30,29
2498,42054.69314,1,1,1,0,0,1,0,Not difficult at all,4,6,6,4,4,PC,70,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Diamond 3,NA,10,1,2,0,NA,2,1,1,1,0,0,0,0,0,1,1,1,0,2,Male,18,Unemployed / between jobs,Multiplayer - online - with online acquaintances or teammates,Accept,4,24,NA
2499,42054.69314,1,0,0,0,0,1,0,Not difficult at all,5,5,5,5,6,PC,20,I play for fun,having fun,Platinum 5,NA,5,0,1,1,2,0,1,0,2,4,0,4,0,0,2,1,0,1,2,Male,20,Student at college / university,Multiplayer - online - with strangers,Accept,2,26,19
2500,42054.69327,1,0,0,0,0,0,0,Not difficult at all,4,5,6,6,1,PC,5,I play for fun,improving,Silver,NA,16,0,0,1,3,0,3,0,1,1,3,4,0,0,0,0,0,0,1,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,1,22,16
2501,42054.69327,0,0,0,0,0,1,0,Not difficult at all,5,5,6,5,7,PC,20,I play for fun,winning,n/a,NA,15,0,0,1,2,2,0,1,0,0,1,1,1,0,0,1,0,1,2,Male,24,Employed,Multiplayer - online - with strangers,Accept,1,28,11
2502,42054.69331,0,1,1,1,0,2,0,Somewhat difficult,5,6,6,6,6,PC,20,I play for fun,improving,Gold III,NA,25,2,2,1,1,2,1,1,2,2,0,2,1,0,0,1,0,1,2,Male,27,Employed,Multiplayer - online - with strangers,Accept,5,29,19
2503,42054.69334,0,0,0,0,0,0,0,NA,2,4,3,3,2,PC,20,I play for fun,winning,NA,NA,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Male,30,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,0,14,3
2504,42054.69336,0,0,1,1,1,1,0,Not difficult at all,6,6,7,6,6,PC,20,I play for fun,winning,Platinum,NA,10,1,0,2,2,1,0,0,3,2,0,3,1,0,0,0,0,0,2,Male,24,Employed,Multiplayer - online - with real life friends,Accept,4,31,15
2505,42054.69342,1,1,1,0,2,1,0,Not difficult at all,3,6,2,4,3,PC,20,I play for fun,improving,Silver V,NA,12,1,2,2,3,0,0,0,3,1,1,3,0,0,0,1,1,0,1,Male,19,Student at college / university,Multiplayer - online - with strangers,Accept,6,18,18
2506,42054.69344,1,1,1,2,1,2,1,Not difficult at all,2,3,2,1,1,PC,10,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,platinum 5,NA,NA,2,1,1,2,1,1,0,0,1,0,2,3,1,NA,4,0,0,4,Male,19,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,9,9,NA
2507,42054.69346,1,1,1,0,1,1,0,Not difficult at all,6,6,7,6,7,PC,15,I earn a living by playing this game,improving,Gold 1,NA,20,1,0,2,2,1,1,1,2,2,2,0,0,1,1,0,0,2,2,Male,18,Employed,Singleplayer,Accept,5,32,18
2508,42054.6935,0,0,0,0,0,0,0,Not difficult at all,6,7,6,5,7,PC,40,I play for fun,improving,Gold IV,NA,10,1,0,0,2,0,0,0,2,2,0,2,0,0,2,0,2,0,2,Male,20,Employed,Multiplayer - online - with real life friends,Accept,0,31,13
2509,42054.6935,1,0,0,0,0,1,0,Not difficult at all,5,4,2,3,7,PC,30,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,plat,NA,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Male,23,Employed,Multiplayer - online - with strangers,Accept,2,21,2
2510,42054.69355,0,0,1,1,0,0,0,Very difficult,5,5,3,3,4,PC,6,I play for fun,having fun,Plat 4,NA,15,0,0,1,0,0,0,0,4,0,0,0,1,0,0,2,0,2,4,Male,25,Employed,Multiplayer - online - with real life friends,Accept,2,20,10
2511,42054.69356,0,0,0,0,0,0,0,Somewhat difficult,7,4,4,1,6,PC,35,I play for fun,having fun,Gold 3,NA,12,0,3,2,2,0,1,1,3,1,0,4,0,0,1,1,0,0,1,Male,20,Unemployed / between jobs,Multiplayer - online - with online acquaintances or teammates,Accept,0,22,19
2512,42054.69359,2,1,1,3,1,2,2,Extremely difficult,1,1,1,1,1,PC,15,I play for fun,winning,NA,NA,20,0,0,2,2,4,4,1,2,1,1,1,4,0,4,4,1,0,1,Male,20,Student at school,Multiplayer - online - with real life friends,Accept,12,5,31
2513,42054.6936,1,0,1,0,2,0,0,Not difficult at all,4,6,5,1,6,PC,20,I play for fun,improving,NA,NA,8,0,1,3,2,1,1,0,4,3,0,0,0,0,0,2,0,0,2,Male,18,Student at school,Multiplayer - online - with strangers,Accept,4,22,17
2514,42054.6936,1,0,3,0,0,0,2,Very difficult,6,5,6,7,3,PC,50,I play for fun,improving,Platin,NA,20,0,0,2,1,1,0,2,2,1,1,0,2,2,2,0,1,2,2,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,6,27,19
2515,42054.69362,0,1,1,0,1,1,0,Somewhat difficult,2,2,3,2,1,PC,22,I play for fun,winning,Diamond,NA,10,0,1,2,2,3,2,0,1,3,1,4,4,1,1,2,0,0,3,Male,20,Student at college / university,Multiplayer - online - with online acquaintances or teammates,NA,4,10,27
2517,42054.69363,1,1,1,1,0,0,0,Somewhat difficult,4,5,3,2,1,PC,35,I play for fun,improving,bronze,NA,3,0,0,2,3,2,2,1,2,2,2,3,2,0,2,2,1,2,1,Male,23,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,4,15,28
2518,42054.69366,0,0,0,2,2,3,0,Somewhat difficult,2,3,4,3,1,PC,30,I play for fun,Winning and having fun ,unranked but was silver,NA,17,0,0,0,1,0,1,1,0,1,1,1,2,2,1,1,1,2,1,Male,20,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,7,13,15
2519,42054.69366,0,0,1,1,0,0,1,Not difficult at all,5,5,5,3,4,PC,20,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,High Plat/Low Diamond,NA,30,1,0,0,1,3,0,0,0,1,0,1,0,0,1,1,0,0,3,Male,20,Unemployed / between jobs,Multiplayer - online - with online acquaintances or teammates,Accept,3,22,9
2520,42054.69372,0,0,1,0,0,0,0,Not difficult at all,5,6,6,6,7,PC,8,I play for fun,having fun,silver,NA,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Male,32,Employed,Multiplayer - online - with real life friends,Accept,1,30,1
2521,42054.69372,1,1,1,1,0,1,1,Somewhat difficult,5,5,5,5,3,PC,7,I play for fun,winning,Silver III,NA,0,1,1,1,2,1,1,0,1,1,2,1,0,0,0,0,1,2,2,Male,19,Student at college / university,Multiplayer - online - with strangers,Accept,6,23,15
2522,42054.69372,0,1,1,2,0,1,0,Not difficult at all,6,6,5,5,6,PC,25,I play for fun,improving,Silver III,NA,4,1,0,2,2,1,2,1,0,1,1,3,0,0,2,1,1,0,3,Female,18,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,5,28,18
2523,42054.69373,0,1,1,1,0,0,0,Somewhat difficult,5,4,6,5,6,PC,22,I play for fun,having fun,Silver 3,NA,8,1,0,2,3,2,2,0,4,3,3,0,1,0,2,2,2,0,1,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,3,26,27
2524,42054.69376,1,0,0,1,0,1,0,Somewhat difficult,1,3,4,5,2,PC,20,I play for fun,having fun,Silver 4,NA,1,0,1,1,2,1,0,0,3,2,0,4,0,0,1,1,0,1,2,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,3,15,17
2525,42054.69377,1,2,2,1,1,2,0,Somewhat difficult,6,7,6,6,5,Smartphone / Tablet,7,I play for fun,having fun,Silver,NA,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,Male,27,Employed,Multiplayer - online - with strangers,Accept,9,30,2
2526,42054.69377,0,0,0,0,0,1,0,Not difficult at all,5,4,6,5,5,PC,22,I play for fun,having fun,NA,NA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Male,22,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,1,25,0
2527,42054.69377,2,1,0,1,0,1,0,Somewhat difficult,6,5,5,6,2,PC,10,I play for fun,having fun,Silver 1,NA,4,0,2,2,NA,1,1,1,4,1,1,3,0,0,0,0,1,2,1,Male,23,Student at college / university,Multiplayer - online - with real life friends,Accept,5,24,NA
2528,42054.69378,0,0,0,1,0,1,0,Somewhat difficult,3,6,4,3,2,PC,30,I play for fun,improving,Gold,NA,10,0,2,0,1,0,1,3,0,1,1,3,0,0,0,1,0,0,2,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,2,18,13
2529,42054.69379,1,0,1,0,2,0,0,Not difficult at all,2,6,5,3,3,PC,10,I play for fun,winning,plat 2,NA,20,0,0,0,2,2,0,0,3,1,0,2,0,0,0,0,0,0,1,Male,21,Student at college / university,Multiplayer - online - with real life friends,Accept,4,19,10
2530,42054.69381,2,1,3,1,0,1,1,Not difficult at all,2,2,2,4,3,PC,21,i don't have anything else to do,having fun,silver 2,NA,0,3,2,2,2,1,2,0,0,0,1,1,1,0,0,0,0,1,2,Male,22,Student at college / university,Multiplayer - online - with strangers,Accept,9,13,16
2531,42054.69382,1,0,2,0,0,1,2,Not difficult at all,5,7,6,6,5,PC,30,I play for fun,winning,Platinum 1,NA,14,0,1,0,2,0,2,3,1,1,2,3,0,1,0,2,0,1,4,Male,18,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,6,29,19
2532,42054.69384,1,2,0,1,0,1,0,Somewhat difficult,6,7,5,3,6,PC,60,I play for fun,relaxing,gold,NA,5,3,3,4,4,2,3,3,4,2,3,3,3,4,3,2,2,2,3,Male,22,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,5,27,50
2533,42054.69385,0,1,1,0,0,0,0,Not difficult at all,6,5,6,3,2,PC,5,I play for fun,having fun,NA,NA,5,2,2,1,1,3,3,2,3,3,2,2,2,1,2,1,1,0,3,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,2,22,31
2534,42054.69386,0,0,1,0,0,1,0,Not difficult at all,6,6,6,5,4,PC,70,I play for fun,having fun,Gold,NA,10,0,3,1,1,0,3,3,4,1,3,4,0,0,0,0,0,1,1,Male,22,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,2,27,24
2535,42054.69392,1,1,1,2,1,1,0,Somewhat difficult,6,6,6,3,5,PC,35,I play for fun,improving,platinum 3,NA,12,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,Male,22,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,7,26,7
2536,42054.69396,1,1,1,1,0,2,0,Somewhat difficult,5,6,4,6,1,PC,48,I play for fun,improving,Silver,NA,5,2,3,0,1,3,2,4,0,3,0,1,0,0,2,3,0,2,1,Male,18,Student at school,Multiplayer - online - with online acquaintances or teammates,Accept,6,22,26
2537,42054.69396,0,1,1,0,0,0,0,Not difficult at all,1,1,2,1,1,PC,10,I play for fun,improving,NA,NA,0,0,0,1,1,2,2,2,1,3,2,1,2,0,2,2,3,0,3,Male,24,Employed,Singleplayer,Accept,2,6,24
2538,42054.69397,0,0,1,0,0,2,0,Somewhat difficult,2,2,2,3,1,PC,20,I play for fun,Both winning and having fun,Platinum 3,NA,10,0,1,1,2,3,2,2,1,4,2,4,4,0,2,4,0,1,2,Male,18,Student at school,Multiplayer - online - with online acquaintances or teammates,Accept,3,10,33
2539,42054.69398,1,2,1,2,1,0,1,Somewhat difficult,3,4,3,3,2,PC,NA,I play for fun,improving,Gold 3,NA,10,1,1,1,0,2,1,2,0,0,0,0,1,0,2,2,0,2,2,Male,22,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,8,15,15
2540,42054.69404,0,1,1,0,2,0,0,Somewhat difficult,2,3,1,1,1,PC,30,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Challenger,NA,15,0,3,0,1,4,2,0,1,3,1,0,4,0,4,4,0,0,5,Male,18,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,4,8,27
2541,42054.69405,0,0,0,0,0,0,0,Not difficult at all,4,4,4,5,2,PC,21,I play for fun,improving,Diamond,NA,7,0,0,0,0,0,0,2,2,2,0,2,0,0,0,1,0,0,2,Male,20,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,0,19,9
2542,42054.69406,3,3,3,3,3,0,2,Somewhat difficult,3,7,3,3,2,"Console (PS, Xbox, ...)",10,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Silver 4,NA,2,1,2,3,NA,2,2,1,3,2,2,1,2,2,2,1,3,3,2,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,17,18,NA
2543,42054.69408,1,0,0,0,0,1,0,Not difficult at all,6,5,6,5,6,PC,30,I play for fun,improving,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Male,18,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,2,28,NA
2544,42054.69412,2,1,1,0,0,1,0,Not difficult at all,6,7,7,6,6,PC,40,I play for fun,having fun,Silver,NA,10,1,2,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,2,Male,26,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,5,32,9
2545,42054.69412,0,0,0,1,1,2,0,Not difficult at all,1,6,7,1,1,PC,80,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Challenger,NA,10,1,0,0,0,0,2,0,1,0,0,2,0,0,2,0,0,0,1,Male,20,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,4,16,8
2546,42054.69413,0,0,0,0,0,0,0,Not difficult at all,7,7,7,7,7,PC,4,I play for fun,having fun,NA,NA,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,Male,56,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,0,35,2
2547,42054.69413,0,0,0,0,0,0,0,Not difficult at all,2,5,6,4,2,PC,20,I play for fun,having fun,Bronze,NA,10,0,0,0,2,2,3,1,3,1,1,3,1,0,1,0,3,1,3,Male,19,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,0,19,22
2548,42054.69414,0,0,1,0,0,1,1,Not difficult at all,6,6,7,5,4,PC,20,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,diamond V,NA,7,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Male,31,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,3,28,4
2549,42054.69414,0,0,0,0,0,0,0,NA,5,6,6,6,6,PC,16,I play for fun,winning,gold,NA,20,2,3,1,3,3,2,0,1,3,2,0,3,0,1,3,3,0,2,Male,21,Student at college / university,Multiplayer - online - with strangers,Accept,0,29,30
2550,42054.69417,0,0,0,0,0,0,0,NA,5,6,7,2,6,PC,10,I play for fun,having fun,diamond,NA,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,Male,20,Student at college / university,Multiplayer - online - with strangers,Accept,0,26,2
2551,42054.69417,1,0,0,1,0,0,0,Not difficult at all,4,6,6,5,5,PC,16,I play for fun,improving,Platinum III,NA,8,2,2,2,3,1,2,2,2,3,1,2,1,1,3,2,0,2,1,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,2,26,31
2552,42054.69417,1,0,1,0,0,0,0,Somewhat difficult,6,7,6,4,5,PC,50,I play for fun,having fun,Platinum 5,NA,14,0,2,1,3,1,1,0,3,3,0,4,0,0,0,0,0,1,2,Male,21,Student at college / university,Multiplayer - online - with strangers,Accept,2,28,19
2553,42054.69419,1,1,0,1,0,0,1,Not difficult at all,5,5,5,4,3,PC,7,I play for fun,having fun,Unranked,NA,3,0,0,0,1,2,1,3,0,1,0,3,3,0,1,1,0,0,1,Male,25,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,4,22,16
2554,42054.69421,0,1,2,1,1,2,0,Somewhat difficult,3,3,5,4,3,PC,12,I play for fun,having fun,gold IV,NA,20,0,0,0,2,1,0,0,0,1,0,4,1,0,0,0,0,0,1,Male,22,Student at college / university,Singleplayer,NA,7,18,9
2555,42054.69426,1,1,1,1,1,0,0,Somewhat difficult,2,6,5,5,4,PC,21,I play for fun,improving,Platinum 4,NA,5,0,1,0,0,2,2,1,0,0,0,0,1,0,0,0,0,1,2,Male,19,Student at school,Multiplayer - online - with online acquaintances or teammates,Accept,5,22,8
2556,42054.69426,0,0,0,0,0,0,0,Not difficult at all,4,5,5,6,3,PC,28,I play for fun,having fun,Silver 1,NA,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,0,23,0
2557,42054.69428,0,0,0,0,0,0,0,NA,5,7,6,5,5,PC,20,I play for fun,winning,Diamond 4,NA,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,0,28,4
2558,42054.6943,0,0,1,0,0,0,0,Not difficult at all,6,6,6,7,6,PC,20,I play for fun,improving,Gold  II,NA,5,1,0,1,1,2,2,1,1,1,1,0,1,0,0,1,1,1,1,Male,25,Student at college / university,Multiplayer - online - with strangers,Accept,1,31,15
