S. No.,Timestamp,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,GADE,SWL1,SWL2,SWL3,SWL4,SWL5,Platform,Hours,earnings,whyplay,League,highestleague,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Playstyle,accept,GAD_T,SWL_T,SPIN_T
51,42052.85064,1,1,1,0,1,0,0,Somewhat difficult,3,4,4,3,2,"Console (PS, Xbox, ...)",18,I play for fun,having fun,Not applicable,NA,10,1,3,1,2,0,1,1,1,1,2,1,2,0,1,2,0,1,2,Male,18,Student at college / university,Singleplayer,Accept,4,16,20
52,42052.85654,1,0,1,0,0,0,0,Not difficult at all,5,5,5,2,3,PC,15,I play for fun,improving,n/a,NA,10,2,1,1,2,0,0,0,2,2,1,0,0,0,1,0,0,0,2,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,2,20,12
53,42052.86107,0,0,0,0,0,1,0,Not difficult at all,1,1,6,1,4,PC,10,I play for fun,having fun,na,NA,2,0,0,1,2,0,0,0,3,3,0,2,0,0,0,0,0,0,3,Male,28,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,1,13,11
54,42052.87256,0,0,0,0,1,1,0,Somewhat difficult,5,6,5,6,6,PC,30,I play for fun,having fun,NA,NA,0,2,1,0,1,0,1,1,2,3,1,3,0,0,2,2,1,0,2,Female,21,Student at college / university,Singleplayer,Accept,2,28,20
55,42052.87856,2,2,2,1,0,1,0,Somewhat difficult,6,6,5,5,6,"Console (PS, Xbox, ...)",11,I play for fun,having fun,0,NA,0,0,0,1,1,3,3,0,1,1,0,0,3,0,1,2,1,0,2,Female,22,Student at college / university,Multiplayer - online - with strangers,Accept,8,28,17
56,42052.8896,2,1,1,3,1,2,0,Very difficult,2,3,1,1,1,PC,0,I play for fun,having fun,n/a,NA,0,2,2,3,4,4,3,2,3,2,0,2,2,3,4,4,2,2,2,Male,19,Student at college / university,Singleplayer,Accept,10,8,44
57,42052.89404,0,0,0,0,0,0,0,Not difficult at all,6,7,6,5,2,PC,30,I play for fun,improving,Silver 2,NA,2,1,0,3,2,3,NA,0,4,3,1,3,2,0,1,0,0,0,2,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,0,26,NA
59,42052.89571,0,0,0,0,0,0,0,Not difficult at all,6,6,6,6,7,"Console (PS, Xbox, ...)",10,I play for fun,having fun,not applicable,NA,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,Male,24,Student at college / university,Multiplayer - offline (people in the same room),Accept,0,31,6
60,42052.89701,0,1,1,1,0,0,3,Somewhat difficult,2,2,1,1,1,PC,20,I play for fun,having fun,0,NA,5,0,1,0,0,1,1,0,0,1,0,4,3,0,1,1,0,0,1,Male,20,Unemployed / between jobs,Multiplayer - online - with online acquaintances or teammates,Accept,6,7,13
61,42052.8991,3,3,1,1,0,1,0,Somewhat difficult,4,6,3,4,3,PC,0,I play for fun,having fun,I don't know what that means,NA,0,1,0,2,3,1,2,0,3,3,3,4,2,0,1,1,1,0,2,Male,19,Student at college / university,Singleplayer,Accept,9,20,27
62,42052.90734,0,0,0,0,0,0,0,Somewhat difficult,6,6,7,6,5,PC,40,I play for fun,having fun,None,NA,0,3,2,3,2,2,1,3,1,1,1,4,0,2,3,2,1,4,1,Male,27,Employed,Singleplayer,Accept,0,30,35
63,42052.91132,1,0,1,0,0,2,0,Not difficult at all,5,6,6,4,4,PC,18,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,N/A,NA,18,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,4,25,4
64,42052.9536,2,0,1,2,2,2,0,Somewhat difficult,5,7,6,7,2,PC,5,I play for fun,having fun,n/a,NA,0,0,3,2,3,3,2,3,2,3,3,2,2,2,3,1,1,3,1,Female,30,Employed,Multiplayer - online - with strangers,Accept,9,27,38
65,42052.96608,2,2,3,2,2,2,2,Very difficult,3,3,4,3,4,"Console (PS, Xbox, ...)",25,I play for fun,having fun,N/A,NA,0,0,1,2,2,3,3,1,1,3,3,3,2,1,2,2,1,2,2,Female,18,Student at school,Multiplayer - online - with strangers,Accept,15,17,32
66,42052.99645,3,3,2,3,1,3,3,Very difficult,1,1,1,2,1,PC,1,I play for fun,relaxing,NA,NA,0,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,Female,18,Student at college / university,Singleplayer,Accept,18,6,64
67,42052.99894,2,3,3,3,3,3,2,Very difficult,2,4,2,1,1,"Console (PS, Xbox, ...)",14,I play for fun,relaxing,n/a,NA,0,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,3,5,Male,22,Student at college / university,Singleplayer,Accept,19,10,64
68,42053.0212,1,1,1,0,0,2,1,Not difficult at all,5,7,6,3,7,PC,2,I play for fun,relaxing,/,NA,1,1,0,3,0,4,0,1,1,1,0,4,4,0,3,2,0,1,1,Female,24,Student at college / university,Singleplayer,Accept,6,28,25
69,42053.03369,1,1,1,0,0,0,0,Somewhat difficult,5,5,5,5,4,"Console (PS, Xbox, ...)",12,I play for fun,winning,N/A,NA,2,0,0,0,0,1,0,1,0,0,0,1,1,1,1,2,1,2,2,Male,18,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,3,24,11
70,42053.07287,0,0,0,0,0,0,0,NA,6,7,7,7,4,PC,40,I play for fun,having fun,bad,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Male,19,Student at school,Multiplayer - online - with real life friends,Accept,0,31,NA
71,42053.07314,1,0,1,2,1,1,1,Not difficult at all,2,4,3,5,2,PC,10,I play for fun,improving,N/A,NA,0,3,3,4,2,3,4,4,3,4,2,4,2,3,3,3,3,4,3,Male,40,Employed,Singleplayer,Accept,7,16,54
72,42053.08773,0,0,0,0,0,0,0,Not difficult at all,5,5,5,5,5,PC,10,I play for fun,having fun,_,NA,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,0,25,68
73,42053.20222,2,2,2,2,1,0,1,Not difficult at all,7,7,7,7,7,PC,7,I play for fun,having fun,NA,NA,3,0,2,2,1,4,2,0,2,2,0,1,1,0,2,2,0,0,3,Male,19,Student at college / university,Singleplayer,Accept,10,35,21
74,42053.23775,0,0,0,0,0,1,0,Not difficult at all,7,7,6,7,4,PC,25,I play for fun,All,NA,NA,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,Male,23,Employed,Singleplayer,Accept,1,31,3
75,42053.41632,3,2,3,3,0,3,2,Extremely difficult,2,5,3,2,2,PC,10,I play for fun,winning,NA,NA,0,4,4,3,4,4,4,0,2,4,4,4,4,4,4,4,4,4,1,Male,24,Student at college / university,Multiplayer - online - with strangers,Accept,16,14,61
76,42053.47993,2,3,3,2,3,3,3,Not difficult at all,6,6,7,6,4,PC,25,I play for fun,improving,"Legendary Eagle at CS, no league yet at LoL",NA,5,1,2,1,4,4,4,0,2,4,4,4,4,4,4,4,0,1,5,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,19,29,47
77,42053.48767,2,2,2,2,1,1,1,Somewhat difficult,3,4,3,3,3,PC,25,I play for fun,having fun,NA,NA,5,1,0,1,1,0,2,0,3,3,1,3,0,0,0,0,0,0,1,Male,20,Student at college / university,Singleplayer,Accept,11,16,15
78,42053.49566,0,0,0,0,0,0,0,Not difficult at all,6,6,6,5,4,PC,10,I play for fun,improving,NA,NA,2,1,1,2,3,3,3,3,2,4,2,1,2,1,3,3,1,1,2,Male,23,Student at college / university,Multiplayer - online - with real life friends,Accept,0,27,36
79,42053.51369,0,0,1,1,1,0,1,Somewhat difficult,5,5,5,5,2,PC,30,I play for fun,having fun,Global top 0.5%,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Male,21,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,4,22,0
80,42053.55089,2,1,1,1,0,1,2,Somewhat difficult,4,5,4,3,1,PC,20,I play for fun,improving,Gold,NA,5,1,1,0,1,1,1,2,3,2,2,1,3,2,1,1,1,2,2,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,8,17,25
81,42053.63137,3,3,3,3,3,3,3,Very difficult,2,1,4,2,3,PC,40,I play for fun,winning,NA,NA,20,3,1,3,3,3,3,2,3,3,1,2,3,3,1,4,4,3,4,Male,21,Student at school,Multiplayer - online - with online acquaintances or teammates,Accept,21,12,45
82,42053.63211,0,0,0,0,0,0,0,NA,5,5,6,4,5,PC,5,I play for fun,having fun,NA,NA,8,0,1,0,2,0,1,0,2,2,1,4,0,0,0,0,0,0,1,Male,19,Student at college / university,Multiplayer - online - with strangers,Accept,0,25,13
83,42053.65188,2,2,2,2,0,1,1,Somewhat difficult,5,2,6,7,2,"Console (PS, Xbox, ...)",25,I play for fun,having fun,NA,NA,0,1,0,3,2,4,3,2,2,3,2,2,3,1,3,4,1,2,1,Female,34,Unemployed / between jobs,Singleplayer,Accept,10,22,38
84,42053.6622,1,2,2,0,2,1,1,Not difficult at all,2,3,5,7,7,"Console (PS, Xbox, ...)",10,I play for fun,having fun,NA,NA,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,Male,19,Student at college / university,Singleplayer,Accept,9,24,5
85,42053.66943,0,0,0,0,0,0,0,Not difficult at all,6,6,6,6,5,Smartphone / Tablet,5,I play for fun,having fun,NA,NA,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,4,Male,50,Employed,Singleplayer,Accept,0,29,7
86,42053.6814,3,3,3,3,2,3,1,Very difficult,2,3,4,3,3,PC,10,I play for fun,improving,Bronze 5,NA,5,1,4,3,0,2,2,3,2,0,0,0,2,2,2,4,1,2,1,Female,20,Employed,Multiplayer - online - with strangers,Accept,18,15,30
87,42053.71839,2,1,1,1,1,1,0,Somewhat difficult,5,4,2,4,5,PC,20,I play for fun,having fun,NA,NA,0,1,0,3,3,2,2,0,3,2,2,2,1,2,2,1,2,2,4,Female,21,Student at college / university,Multiplayer - online - with real life friends,Accept,7,20,30
88,42053.72908,0,0,0,1,0,1,1,Not difficult at all,5,5,6,5,4,PC,45,I play for fun,having fun,NA,NA,20,0,2,2,3,2,3,2,4,3,1,3,2,1,1,1,0,0,2,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,3,25,30
89,42053.73389,2,1,1,1,0,2,1,Somewhat difficult,6,7,6,6,5,PC,11,I play for fun,having fun,NA,NA,0,1,1,2,2,2,3,0,2,1,1,1,1,3,2,4,1,3,3,Male,28,Employed,Singleplayer,Accept,8,30,30
90,42053.75658,1,0,1,1,1,1,0,Somewhat difficult,6,6,6,7,2,PC,12,I play for fun,having fun,potato,NA,6,1,0,1,2,0,0,0,0,1,1,0,0,0,2,3,0,0,3,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,5,27,11
91,42053.79323,1,0,1,2,1,2,1,Somewhat difficult,2,3,2,2,2,PC,25,I play for fun,improving,NA,NA,0,1,3,0,3,3,3,1,0,2,2,4,1,0,3,4,2,2,2,Male,24,Student at college / university,Multiplayer - online - with strangers,Accept,8,11,34
92,42053.82787,3,3,3,3,3,1,2,Somewhat difficult,5,7,5,5,1,Smartphone / Tablet,9,I play for fun,having fun,NA,NA,1,2,4,1,2,NA,1,0,1,2,0,0,1,1,0,1,0,0,2,Male,19,Student at college / university,Multiplayer - online - with strangers,Accept,18,23,NA
93,42053.83694,1,0,1,1,1,0,0,Somewhat difficult,2,3,4,2,3,PC,6,I play for fun,relaxing,N/A,NA,2,1,2,1,2,1,0,1,1,1,0,1,0,0,0,1,1,0,2,Male,22,Student at college / university,Multiplayer - online - with real life friends,Accept,4,14,13
94,42053.86877,1,2,1,0,1,1,2,Somewhat difficult,3,4,6,5,5,PC,20,I play for fun,having fun,NA,NA,2,1,2,1,1,1,0,1,2,0,0,1,0,0,1,1,0,1,1,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,8,23,13
95,42053.9069,3,3,3,3,0,0,0,Very difficult,1,3,1,1,1,"Console (PS, Xbox, ...)",6,I play for fun,relaxing,NA,NA,0,1,4,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,2,Female,18,Student at school,Singleplayer,Accept,12,7,11
96,42053.94723,1,1,0,1,0,2,1,Not difficult at all,2,5,2,4,1,PC,20,I play for fun,I play it as I watch TV or movies.  I've gone through many a Netflix binge with Isaac.,NA,NA,0,3,3,3,3,3,4,4,2,4,3,4,1,0,3,2,2,3,2,Female,22,Student at college / university,Singleplayer,Accept,6,14,47
97,42054.27905,3,3,3,3,1,3,1,Extremely difficult,2,4,3,2,2,"Console (PS, Xbox, ...)",10,I play for fun,having fun,NA,NA,0,0,0,3,2,2,4,1,3,3,1,1,1,2,2,4,0,2,1,Male,18,Student at college / university,Singleplayer,Accept,17,13,31
99,42054.42857,1,0,1,1,0,2,0,Somewhat difficult,2,6,3,4,3,PC,8,I play for fun,winning,diamond,NA,20,1,1,0,3,0,1,0,1,2,2,2,0,0,1,0,2,0,2,Male,20,Student at college / university,Multiplayer - online - with strangers,Accept,5,18,16
